title,score,ratings,installs,gini_coeff,popularity_index
fuboTV: Watch Live Sports & TV,2.223301,311,1606520,0.47058823529411764,4.333343911279965
garry's mod apk 2023,2.9047618,26,3659,0.6166666666666667,2.5654613913362003
"Dating.com™: Chat, Meet People",2.9800222,89299,18628100,0.3814328598951566,5.2215415519139325
AstroSoul: Astro Palm Reader,3.0309734,12318,3062318,0.528303114074315,4.673062164124406
Duo Mobile,3.06777,44789,32696460,0.4273009491903964,5.39741135587316
Camo Sniper,3.116505,4856,4755015,0.43990892154833366,4.803313789738961
Voice Lock Screen: Pin Pattern,3.1527777,593,903893,0.5058419243986254,4.2838286539811286
Facebook,3.1561174,134246191,8746599423,0.46939415449402905,7.182358235627027
Filters for Selfies,3.18,3338,1485871,0.3456521739130435,4.456485822081053
Gangster City: Mafia Crime,3.1862745,3046,4991285,0.46774727092292423,4.823121874613844
KFC US - Ordering App,3.219956,18127,3916251,0.4489129235183755,4.786236260948039
Amazon Music: Songs & Podcasts,3.2353492,2935686,291416137,0.39590432060180963,6.1382423005951505
Move to iOS,3.236116,185510,136668544,0.49352195290261364,5.885872284995027
Paper.io 2,3.2468598,2056247,239682164,0.3975847024671887,6.078382975767868
"Match Dating: Chat, Date, Meet",3.271004,137505,16395126,0.2823555080400585,5.232058435180696
Guess The Drawing,3.28,3303,5061785,0.4437938395852394,4.841713961987737
Live Satellite View GPS Map,3.2846153,35606,18252782,0.48429528689678475,5.271030926917801
Microsoft Family Safety,3.2939188,19005,3039512,0.4190416008425487,4.722669744050803
Coupons & Promo Codes,3.2941177,4275,769304,0.47681498829039815,4.294562024061443
Grifols Plasma Donor Hub,3.3051949,1582,299944,0.44263959390862945,3.9939690942484525
athenaPatient,3.33,125,104355,0.4943089430894309,3.6307314700052324
Hiker: Heropack Creed,3.3489933,960,100465,0.5102725366876311,3.6737619435747426
Melon playground normal,3.3636363,55,32265,0.5818181818181818,3.2701327156296047
Evony: The King's Return,3.403393,605583,130492486,0.40153176732857204,5.917062211317346
Wonder - AI Art Generator,3.4110012,93325,11888245,0.46123476900324717,5.187290007301508
Block Crazy Robo World,3.4131944,115478,67157567,0.4361560781256767,5.699559756293632
Rainbow Survivor: Find Daddy,3.4150944,1419,2866756,0.4835646457268079,4.6810656960948585
MeetMe: Chat & Meet New People,3.4413946,1615097,95463290,0.4558888632281401,5.866408263627683
Heads Up!,3.4459565,227368,31031517,0.45280061224220514,5.495432614052859
Shimeji - DIY my lovely friend,3.490909,1966,792232,0.5402464065708419,4.32821501484753
"Ticketmaster－Buy, Sell Tickets",3.501819,127425,24191311,0.4938565374352535,5.433368585159167
"OkCupid: Dating, Love & Fun",3.508191,569314,37411287,0.38132951581314056,5.564630360856966
K MANGA,3.5229359,1066,47058,0.44,3.4701049575976826
Magic Piano Tiles:music game,3.5333333,709,2228500,0.5870056497175141,4.622666173697313
Hinge Dating App: Meet People,3.5399394,241276,14443512,0.3737621751564637,5.270751330756122
Phone Doctor,3.5544555,7924,11058497,0.5641363578760613,5.163249119553735
StubHub - Live Event Tickets,3.560422,75569,9349604,0.4497161384238735,5.142469784836552
myAir™ by ResMed,3.5838256,23000,1909674,0.4360948032180909,4.646609814726915
Xfinity,3.590084,158733,12265054,0.465596905378417,5.251684254787186
Upward: Christian Dating App,3.5922298,31269,1402420,0.3957395087001023,4.554422896148934
Google Authenticator,3.6052897,454323,146228850,0.4765663898359927,6.017291326521425
Da Fit,3.6106935,173513,37346755,0.32819661548393053,5.54397003737891
Flowbird Parking,3.6108596,26604,1606936,0.4618406200617052,4.611637764653969
BATTLE ROYALE CHAPTER4 SEASON3,3.6176472,1091,810009,0.6149584487534626,4.3541569312775215
Slack,3.6214433,122838,33790634,0.409434945448624,5.5348471788509475
NYT Games: Word Games & Sudoku,3.6220737,11590,3183152,0.39585563805905716,4.777072554420078
Passport Parking,3.6283383,13849,2991561,0.48116151401329094,4.786239445439965
APPatient,3.629108,2121,659364,0.49947990543735227,4.292247783401225
DC UNIVERSE INFINITE,3.6318157,18221,6017255,0.41563374869627273,4.9831549398432395
"AI Art Generator: Photo, Draw",3.642857,997,173804,0.550253807106599,3.888568742068333
Reddit,3.6541,2875295,133182942,0.5189426853138681,6.06534154531127
Weapon Craft Run,3.6589286,20012,3949908,0.5224122412241224,4.8960848010241165
Universal TV Remote Control,3.66,4274,1089111,0.5719000471475719,4.48328242942803
Hole and Fill: Collect Master!,3.6610801,11389,1964706,0.4084336290960204,4.643750859869661
Pull the Pin,3.6616096,1337631,160075733,0.35664020418400777,6.036926846098779
Fake Call - Fake Phone Call,3.6666667,52,513700,0.536,4.118912946299857
Plenty of Fish Dating App,3.6700902,1654304,74299915,0.3770583328295956,5.8248268631225875
Hole.io,3.689,1177086,158658215,0.4521174874413697,6.077495043097719
Breaking News & Latest Stories,3.6911197,2797,1010737,0.5106017191977077,4.439676983873933
"Hopper: Hotels, Flights & Cars",3.6914861,123589,29965806,0.5362323296893585,5.558657995716731
Ragdoll Playground,3.6916168,39468,20360652,0.4445526229050988,5.383243408260538
NoteMaster,3.6949153,59,63712,0.6618181818181819,3.518118361940153
AccuWeather: Weather Radar,3.6993806,2557596,115714216,0.38507781550429543,5.975880329938489
Tinder Dating app. Meet People,3.708461,5953664,366319490,0.413874263853957,6.351566033427736
BURGER KING® App,3.7093,251439,19583032,0.47517996770524273,5.434456737206002
Super Proxy-Super VPN,3.71,204,167422,0.4824120603015076,3.824203495702216
